#{"t_start": 1754198174.1513555, "env_id": "None"}
r,l,t
63.110973,227,62.950412
89.40075,299,63.108173
52.40918,263,63.241159
99.9961,299,64.401485
43.10898,171,64.497749
69.21305,265,64.623707
108.48686,299,64.792752
98.28282,299,64.949426
104.61342,299,65.101812
68.58707,299,65.26086
72.79259,299,65.455452
123.45622,299,66.606511
55.348362,271,66.74782
47.495483,188,66.841391
25.50768,101,66.890167
72.84381,299,67.039516
77.12405,299,67.209432
27.98197,96,67.261875
84.71948,299,67.442028
48.738167,239,67.568935
124.244286,299,68.777852
86.229095,299,68.936554
71.57851,257,70.085325
52.96357,241,70.208111
90.52593,299,70.357627
87.92108,299,70.50186
60.013626,215,70.615055
106.127625,299,71.560132
45.88097,186,71.66127
71.89832,232,71.779974
94.56494,299,71.929108
107.96682,299,72.087964
72.82747,291,72.23345
68.55779,242,72.365012
101.67363,299,72.521617
71.56289,299,73.653564
48.721844,190,73.761662
53.207188,190,73.871792
61.64269,268,74.00537
40.862408,153,74.094595
46.780243,178,74.192102
30.151575,136,74.255792
24.792793,95,74.302884
98.364136,299,74.459974
111.60857,299,74.608489
50.369675,195,75.534427
95.070145,299,75.697085
47.398907,185,75.793968
52.198563,172,75.888117
82.08495,299,76.04198
116.978325,299,76.19428
49.6336,171,76.276731
80.19575,299,76.436134
75.16893,290,77.515715
82.00273,299,77.681009
94.21322,299,77.849996
61.57109,299,78.003307
82.81193,299,78.16309
72.29964,258,78.364336
51.10058,197,78.47682
54.354748,233,78.609117
85.54028,299,79.650251
83.96271,299,81.242401
87.196945,299,81.388157
95.255165,299,81.541277
79.208435,299,81.686678
108.91822,299,81.840524
46.527386,173,81.931338
74.51287,299,82.944883
29.07671,97,82.999252
47.29426,168,83.096631
54.80759,195,83.196892
78.563614,292,83.347381
36.36748,150,83.425784
56.65461,299,83.573393
93.119,258,83.71184
52.086018,206,83.822296
98.574684,299,84.867276
81.22746,286,85.033998
95.092224,299,85.189245
86.98777,299,85.334994
115.58032,299,85.480399
78.33205,299,85.636858
70.62599,299,85.783935
62.529602,215,86.764684
86.68752,299,86.928308
85.59203,299,87.080404
66.09691,292,87.225245
32.891903,117,87.28843
114.352455,299,87.444151
56.62357,261,87.574745
27.954447,116,87.632353
91.81442,299,87.788601
86.28007,299,88.825507
55.645145,247,88.962449
27.319248,112,89.023631
105.721504,299,89.175078
61.717808,250,89.30753
72.88987,263,89.440806
73.93285,299,89.592847
90.27776,299,90.575922
54.111046,246,91.857854
56.45963,171,91.947196
36.35369,131,92.012544
85.1199,299,92.167569
59.957016,195,92.264545
75.205154,299,92.415007
33.91627,115,92.475371
60.84817,235,92.598755
62.180386,299,92.756124
79.71411,297,93.76695
48.13295,225,93.900341
41.13919,195,94.004643
64.18816,299,94.167681
56.04963,196,94.302375
67.3824,283,94.455392
68.78236,299,94.629477
89.264626,299,94.797014
48.27434,214,95.802992
60.89501,205,95.907478
88.22419,299,96.062431
88.66613,299,96.218276
33.941692,157,96.302908
114.03697,299,96.454591
68.607544,299,96.624199
80.563324,280,96.768805
72.736534,255,97.799547
56.60632,235,97.928401
118.63141,299,98.080934
124.41548,299,98.237834
68.95013,225,98.366887
34.367302,111,98.427068
29.600063,117,98.488462
38.947437,153,98.56854
59.441116,214,98.683363
75.673935,299,99.756352
102.79427,299,99.915725
67.994965,240,100.042866
51.96442,186,100.136661
39.409348,149,100.217242
95.21033,299,100.3794
102.266884,299,100.544924
46.300247,219,100.655554
53.628464,170,101.557162
79.29674,299,102.596992
55.024815,211,102.707727
89.352,299,102.866754
54.7303,238,102.995159
87.47773,299,103.156432
69.790215,299,103.308996
58.50839,198,103.407851
76.14207,294,104.437066
57.89356,228,104.575685
97.31625,299,104.738129
75.302,299,104.889541
71.58899,245,105.023857
51.493195,195,105.120454
31.21465,109,105.190971
56.904217,229,105.312658
44.31212,199,105.41368
77.32505,299,106.432359
93.34662,299,106.593651
87.993835,299,106.753944
53.209797,176,106.848583
74.31016,271,106.992316
51.582554,234,107.115165
82.199615,299,107.277939
72.11914,299,107.447164
78.79149,299,108.456276
77.04786,299,108.608578
64.9141,222,108.724124
79.11963,299,108.87641
