#{"t_start": 1754811304.1796522, "env_id": "None"}
r,l,t
15.922816,53,351.707739
44.417076,175,351.877768
50.78926,183,352.081545
17.800238,53,352.139147
19.423462,58,352.18163
20.825232,86,352.251554
35.82229,134,352.356401
94.96106,287,352.632541
51.555466,174,352.793689
28.334133,110,352.898387
31.153685,128,353.007576
35.152443,117,353.112704
18.522486,60,353.168117
86.77557,299,353.436881
28.655966,106,353.523003
36.51399,109,353.615133
16.622942,64,353.67238
20.36101,76,353.727734
36.93787,126,353.838514
28.247702,118,353.96955
29.576557,96,354.068004
18.20562,66,354.126244
56.616848,205,354.30751
24.921724,102,354.407768
30.419622,116,354.533616
31.13323,96,354.641968
22.323828,98,354.765913
22.229216,59,354.840189
19.949432,59,354.923355
27.858854,111,355.060226
72.344444,286,355.404222
15.576497,52,355.463448
38.486633,126,355.576582
36.84344,144,356.541162
27.311918,73,356.611346
50.087704,212,356.807323
22.83745,100,356.910045
29.561033,135,357.036831
28.506453,114,357.142468
29.82054,84,357.218551
32.46328,119,357.380199
27.969444,122,357.503261
52.384983,196,357.721064
16.346933,51,357.75783
18.973305,49,357.800798
34.23185,169,357.983919
39.469765,203,358.193617
27.46772,105,358.285584
20.368456,54,358.350317
81.87913,231,358.600579
26.69519,89,358.684558
33.39596,91,358.782661
13.998218,45,358.834915
68.13739,219,359.041564
21.269522,62,359.106352
19.442356,58,359.160338
44.160378,187,359.315383
31.47742,85,359.412263
20.577398,61,359.464747
25.142172,113,359.572817
20.759838,72,359.644669
85.31306,295,359.906068
23.006285,97,359.999877
30.751453,78,360.078017
38.689693,107,360.180025
31.302261,90,360.263322
23.101835,76,360.34133
20.350979,70,360.403653
73.68118,296,361.574245
58.741158,229,361.80393
31.257938,103,361.913084
27.438288,118,362.0265
22.476454,64,362.089484
78.31842,299,362.380397
50.63592,201,362.577632
41.556732,156,362.729421
42.54186,199,362.935202
35.894928,149,363.125715
20.609694,71,363.194837
36.400322,126,363.336844
26.191698,81,363.4189
79.39516,299,363.775099
15.071433,49,363.834695
41.756622,139,364.048368
23.143875,86,364.177035
24.196785,92,364.282059
38.801678,182,364.485897
45.966167,189,364.699737
84.07419,299,365.00124
113.03973,283,365.341629
42.85258,84,365.433978
20.21169,80,365.500241
23.343803,76,365.579498
18.538483,71,365.646949
45.13756,185,365.833607
58.928833,260,366.968218
26.679874,69,367.042214
28.666883,127,367.182957
88.30128,299,367.494132
91.71482,299,367.764533
57.225365,193,367.949429
31.655308,139,368.100745
58.255825,232,368.31884
28.03696,118,368.436851
92.5164,299,368.717421
65.17445,299,369.014969
88.919426,284,369.251138
55.856705,297,369.528479
85.7429,299,369.846059
46.334026,238,370.094526
15.711763,51,370.146608
45.85197,232,370.354269
26.16055,87,370.435971
57.478867,278,370.704159
66.1871,278,371.811291
47.512543,242,372.056288
66.04629,299,372.343721
57.83914,167,372.500504
106.11222,299,372.797776
85.262276,299,373.077257
149.37146,299,373.393119
72.94489,299,373.700644
31.523664,140,373.831907
35.001472,119,373.953067
98.126335,299,374.262715
111.41703,299,374.560253
29.034618,86,374.638114
33.52067,134,374.788752
73.55854,299,375.091573
80.16863,299,376.874868
93.62356,289,377.961767
104.91073,299,378.257122
124.37529,299,378.564619
72.467705,299,378.891685
137.16403,299,379.226189
96.74792,299,379.53969
104.09013,299,379.921498
97.92329,299,380.245092
102.83958,299,380.553313
39.199547,141,380.703999
85.91648,299,381.220284
41.258656,175,381.44437
133.63828,299,381.82957
96.45648,299,382.315419
101.55088,299,382.711553
108.92115,299,384.062814
96.04609,299,384.409945
95.307884,299,384.738711
96.914536,299,385.073836
41.566532,145,385.225777
94.94008,299,385.502538
87.50425,299,385.811133
89.973885,299,386.114305
82.50691,299,386.411944
107.64534,299,386.736259
92.190056,299,387.037754
106.61491,299,387.317531
95.553276,299,387.639638
112.06189,299,387.979599
81.77111,299,389.274265
114.70509,299,389.612482
110.17132,299,389.964132
97.24947,299,390.397241
122.400406,299,390.69805
71.058586,299,391.141639
111.33315,299,391.49654
87.618225,299,391.826754
73.12454,299,392.129845
118.67351,299,392.450742
91.82833,283,392.721958
101.77414,299,393.087237
105.43774,299,393.394062
98.801544,299,393.707474
80.67344,299,394.812432
95.41953,299,395.114208
89.67686,299,395.416178
105.316635,299,395.758664
109.3579,299,396.092033
122.431015,299,396.403718
88.96865,299,396.751485
122.08276,299,397.055151
75.82618,299,397.358064
73.85152,299,397.675031
120.70488,299,397.964127
108.44736,299,398.28253
80.984,299,398.568269
112.54069,299,398.902877
109.662704,299,400.021532
101.97648,299,400.340576
112.65305,299,400.645618
115.06597,299,400.931124
105.02188,299,401.211534
97.08909,299,401.542691
107.89096,299,401.851443
113.09528,299,402.123118
99.08087,299,402.466462
148.42592,299,402.771389
106.52638,299,404.49538
109.63535,299,404.800026
96.72349,299,405.119983
98.43345,299,406.246179
110.20807,299,406.555176
112.83564,299,406.85209
90.82685,299,407.170595
77.366356,299,407.453528
137.53305,299,407.788785
97.32763,299,408.156344
114.85702,299,408.448058
106.48208,299,408.746077
95.68594,299,409.060465
96.08341,299,409.396549
93.2402,299,409.744474
116.973274,299,410.084178
83.13563,299,410.421057
136.70833,299,411.568032
130.09232,299,411.938595
111.99731,299,412.24856
153.26732,299,412.581729
101.02563,299,412.875206
121.560295,299,413.187501
122.43796,299,413.491295
118.346886,299,413.799937
104.972,299,414.068585
97.223854,299,414.387034
98.894905,299,414.678059
109.20269,299,414.951195
114.64911,299,415.24645
115.57955,299,415.533503
118.4565,299,416.789968
127.744705,299,417.092126
85.19643,299,417.432088
138.79012,299,417.890169
122.49855,299,418.247987
110.01418,299,418.572042
119.895325,299,418.963286
141.19803,299,419.289629
141.91934,299,419.636603
114.47357,299,419.946152
120.08436,299,420.278449
118.44736,299,420.682904
94.93049,299,421.020303
122.559555,299,421.314067
148.5254,299,422.579397
113.29844,299,422.896732
129.72247,299,423.238645
151.95293,299,423.565981
113.753876,299,423.94406
113.39364,299,424.260093
140.04831,299,424.604783
134.06325,299,424.919358
109.13894,299,425.270448
122.32643,299,425.565373
115.24252,299,425.876146
116.9445,299,426.159671
120.88139,299,426.523917
155.52536,299,427.708026
135.14835,299,428.024828
153.14462,299,428.319898
144.95229,299,428.645177
129.89166,299,428.953046
153.61163,299,429.290141
134.11105,299,429.581246
132.71806,299,429.901596
107.57786,299,430.223848
110.34007,299,431.93385
115.238815,299,432.22966
142.66081,299,432.524052
132.38419,299,432.885812
165.53749,299,433.205184
139.66652,299,434.320276
128.17749,299,434.635429
169.15196,299,434.980585
133.82191,299,435.320524
135.50017,299,435.651772
162.2713,299,435.94787
142.69319,299,436.255055
101.373085,299,436.586292
83.53456,299,436.882023
111.59223,299,437.173337
128.48608,299,437.484168
141.68036,299,437.775795
128.83308,299,438.075344
114.246216,299,438.416499
145.27908,299,439.544427
134.62148,299,439.911835
140.0007,299,440.300457
124.291954,299,440.617207
130.74518,299,440.896597
150.18991,299,441.227889
150.74196,299,441.565899
137.63237,299,441.888536
171.72824,299,442.214431
140.23395,299,442.520114
110.88511,299,442.85416
143.94424,299,443.184651
140.04744,299,443.496152
116.947464,299,444.623797
151.25722,299,444.952228
150.54543,299,445.252346
160.5405,299,445.583263
137.4359,299,445.916736
152.09358,299,446.224187
148.11186,299,446.530187
172.0968,299,446.870041
160.2418,299,447.15522
139.64891,299,447.475449
135.84425,299,447.786092
