time/total_timesteps,time/fps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/loss,train/value_loss,train/clip_range_vf,train/learning_rate,train/std,train/explained_variance,train/clip_fraction,train/clip_range,eval/mean_reward,eval/mean_ep_length
69632,754,92,17,299.0,123.87970733642578,-4.247641476988792,0.0034886329,-0.001880573560265475,80,-0.009864410385489464,0.038885387394111605,0.2,0.0001901696,0.9958429336547852,0.9870352745056152,0.191455078125,0.1,,
73728,756,97,18,299.0,129.2339630126953,-4.246033266186714,0.004055901,-0.0036947277694707736,85,-0.002895541489124298,0.03843336739810184,0.2,0.0001895552,0.9977736473083496,0.9871314167976379,0.206787109375,0.1,,
77824,758,102,19,299.0,133.3902587890625,-4.248698142170906,0.0044012833,-0.003461216404684819,90,-0.015404815785586834,0.035681779647711666,0.2,0.00018894080000000002,0.9973490238189697,0.9890622496604919,0.21357421875,0.1,,
80000,,,,,,-4.246864452958107,0.003188245,-0.0008912341465475038,95,-0.0068539101630449295,0.03972123037092388,0.2,0.0001883264,0.996090829372406,0.9878464937210083,0.1947265625,0.1,125.27156066894531,299.0
81920,750,109,20,299.0,139.88446044921875,,,,,,,,,,,,,,
86016,752,114,21,299.0,147.2872314453125,-4.243767064809799,0.003673821,-0.0030692736065248026,100,-0.020773224532604218,0.026193933037575334,0.2,0.000187712,0.9948639273643494,0.9916695356369019,0.220068359375,0.1,,
90112,754,119,22,299.0,153.46124267578125,-4.238995862007141,0.003837743,-0.003806989455188159,105,-0.014766724780201912,0.02352722951909527,0.2,0.00018709760000000002,0.9934470057487488,0.9935610294342041,0.19140625,0.1,,
94208,756,124,23,299.0,159.68594360351562,-4.227344092726708,0.002791368,-0.00018431599019095302,110,-0.021455880254507065,0.025280688697239383,0.2,0.00018648320000000002,0.9883652329444885,0.9920204281806946,0.178369140625,0.1,,
98304,758,129,24,299.0,166.0254364013672,-4.210743919014931,0.004795772,-0.0017261139146285132,115,-0.01751019060611725,0.021417783608194442,0.2,0.0001858688,0.9827907681465149,0.993205189704895,0.18525390625,0.1,,
100000,,,,,,-4.198140549659729,0.00441863,-0.001553734514163807,120,-0.02192978747189045,0.01614952491945587,0.2,0.0001852544,0.9796862602233887,0.9952316880226135,0.213525390625,0.1,186.50393676757812,299.0
102400,752,136,25,299.0,172.1914520263672,,,,,,,,,,,,,,
106496,754,141,26,299.0,179.40576171875,-4.183018308877945,0.003819999,-0.0016821192257339135,125,-0.024632828310132027,0.013435456156730651,0.2,0.00018464,0.9727341532707214,0.9962353110313416,0.1994140625,0.1,,
110592,757,146,27,299.0,184.01539611816406,-4.168064638972282,0.004105338,-0.0014076792809646576,130,-0.01908060908317566,0.011014815763337538,0.2,0.0001840256,0.9698298573493958,0.996873140335083,0.1958984375,0.1,,
114688,758,151,28,299.0,187.3035125732422,-4.163859131932258,0.00578886,-0.0014777663949644194,135,-0.002559100976213813,0.009930349659407511,0.2,0.0001834112,0.9697780609130859,0.9970068335533142,0.21181640625,0.1,,
118784,760,156,29,299.0,189.39093017578125,-4.156386002898216,0.0044869203,-0.0035164680914022027,140,-0.021490836516022682,0.009585063197300769,0.2,0.00018279680000000002,0.9653260111808777,0.9970324635505676,0.21513671875,0.1,,
120000,,,,,,-4.1439283192157745,0.0043773362,-0.0021125534956809135,145,-0.014538586139678955,0.008807198333670385,0.2,0.0001821824,0.9621109962463379,0.9970861673355103,0.20302734375,0.1,248.82162475585938,299.0
122880,756,162,30,299.0,192.68283081054688,,,,,,,,,,,,,,
126976,759,167,31,299.0,195.93350219726562,-4.128771501779556,0.0038863833,-0.001182591349061113,150,-0.016882333904504776,0.008762759942328557,0.2,0.000181568,0.9559628963470459,0.9967053532600403,0.18994140625,0.1,,
131072,762,172,32,299.0,198.89126586914062,-4.110523635149002,0.0034757555,-0.0018342951691010967,155,-0.016591891646385193,0.0077097545494325456,0.2,0.00018095360000000002,0.9505612850189209,0.9972459673881531,0.196630859375,0.1,,
135168,763,176,33,299.0,201.75650024414062,-4.098159071803093,0.004524524,-0.0016520877776201814,160,-0.02128247357904911,0.006498665807885118,0.2,0.00018033920000000002,0.9475859999656677,0.9974941611289978,0.221240234375,0.1,,
139264,764,182,34,299.0,204.23745727539062,-4.087811842560768,0.0038690548,-0.00022019272000761703,165,-0.010571510531008244,0.006009256711695343,0.2,0.0001797248,0.9440671801567078,0.9979252815246582,0.21015625,0.1,,
140000,,,,,,-4.07801443040371,0.0036546625,7.161135727073997e-05,170,-0.01104838214814663,0.005178306261950638,0.2,0.0001791104,0.9414692521095276,0.9981523156166077,0.186181640625,0.1,202.06735229492188,299.0
143360,759,188,35,299.0,207.60427856445312,,,,,,,,,,,,,,
147456,761,193,36,299.0,211.25082397460938,-4.071291691064834,0.0032709334,-0.0014107392635196447,175,-0.02154875546693802,0.005466144069214351,0.2,0.00017849600000000002,0.939508855342865,0.9981039762496948,0.195068359375,0.1,,
151552,761,199,37,299.0,214.4095458984375,-4.067395567893982,0.004386808,-0.0006332879449473694,180,-0.018124867230653763,0.004346224914479535,0.2,0.0001778816,0.9387032985687256,0.9983987808227539,0.20322265625,0.1,,
155648,762,204,38,299.0,217.28466796875,-4.058084392547608,0.004094148,-0.0001503649080405012,185,-0.027017293497920036,0.004470362921711058,0.2,0.0001772672,0.9341225624084473,0.9983537793159485,0.209326171875,0.1,,
159744,762,209,39,299.0,219.90769958496094,-4.048606252670288,0.003652107,0.0011143483730847946,190,-0.016871456056833267,0.00480472941417247,0.2,0.00017665280000000002,0.9325936436653137,0.998265266418457,0.176513671875,0.1,,
160000,,,,,,-4.04306164085865,0.0037335455,6.505854980787262e-05,195,-0.022163476794958115,0.0031703656422905624,0.2,0.0001760384,0.9307150840759277,0.9988780617713928,0.1986328125,0.1,209.16439819335938,299.0
163840,757,216,40,299.0,222.7246856689453,,,,,,,,,,,,,,
167936,757,221,41,299.0,224.1183624267578,-4.0363928228616714,0.0036708866,0.0001455526376958005,200,-0.02743486687541008,0.003464906808221713,0.2,0.000175424,0.9284579753875732,0.9987196922302246,0.20712890625,0.1,,
