rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/iterations,time/fps,time/total_timesteps,train/std,train/value_loss,train/clip_fraction,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/n_updates,train/approx_kl,train/entropy_loss,train/loss,eval/mean_reward,eval/mean_ep_length
38.674076080322266,2,134.86666666666667,1,1010,2048,,,,,,,,,,,,,
36.307735443115234,4,130.4516129032258,2,836,4096,0.9976573586463928,0.2761887759319507,0.287548828125,0.2,-0.1530987024307251,-0.0037846847510081714,0.000297952,10,0.020729769,-4.253165593743324,0.007413337007164955,,
35.40874481201172,7,134.29545454545453,3,799,6144,0.9977970719337463,0.050218487763777374,0.222265625,0.2,0.48767513036727905,-0.002177940681576729,0.000295904,20,0.018477507,-4.250315651297569,-0.0037325136363506317,,
38.695037841796875,10,151.4814814814815,4,768,8192,0.9939549565315247,0.06530668468913063,0.253271484375,0.2,0.7224541902542114,-0.0053673216432798656,0.00029385599999999995,30,0.021518858,-4.244756917655468,0.018607571721076965,,
41.61720275878906,13,165.95081967213116,5,756,10240,0.9895971417427063,0.07094274740666151,0.235888671875,0.2,0.7818863391876221,-0.0095110640519124,0.00029180799999999995,40,0.020484647,-4.231814281642437,-0.021314973011612892,,
46.40838623046875,16,179.44117647058823,6,747,12288,0.9747728705406189,0.07137359203770757,0.22861328125,0.2,0.7883641719818115,-0.01180967858817894,0.00028975999999999996,50,0.018245097,-4.199397574365139,-0.01113065704703331,,
52.904056549072266,19,190.6,7,736,14336,0.9653603434562683,0.07561671893345193,0.187646484375,0.2,0.8027256727218628,-0.005859761354804505,0.00028771199999999997,60,0.015825886,-4.161662057042122,-0.023089084774255753,,
57.880882263183594,22,198.62962962962962,8,732,16384,0.9628100991249084,0.10435216627083718,0.188232421875,0.2,0.7373980283737183,-0.007215014775283635,0.000285664,70,0.012492234,-4.147583222389221,-0.015236202627420425,,
105.66109466552734,1,299.0,1,1137,2048,0.9630758166313171,0.06681929028127342,0.189306640625,0.2,0.8410928249359131,-0.006776817492209375,0.000283616,80,0.012554671,-4.141682757437229,-0.04150336608290672,,
,,,,,3076,0.9664033055305481,0.03312126101809554,0.21923828125,0.2,0.9130865931510925,-0.008307173982757377,0.000297952,90,0.018960044,-4.146448485553265,-0.0021268511191010475,79.91996765136719,299.0
115.09740447998047,6,299.0,2,664,4096,,,,,,,,,,,,,
123.03814697265625,8,299.0,3,689,6144,0.9683494567871094,0.029746615374460817,0.1892578125,0.2,0.9597122073173523,-0.009278221878048498,0.000295904,100,0.012741729,-4.157108843326569,-0.0068036653101444244,,
127.32987213134766,11,299.0,4,695,8192,0.9628807902336121,0.032583355944370854,0.17880859375,0.2,0.9657211899757385,-0.007350079409661703,0.00029385599999999995,110,0.013653897,-4.150392001867294,-0.009888339787721634,,
130.02566528320312,14,299.0,5,684,10240,0.9687025547027588,0.02750268204836175,0.20537109375,0.2,0.9659606218338013,-0.012740497397317085,0.00029180799999999995,120,0.0154850185,-4.154230791330337,-0.0009215353056788445,,
132.7304229736328,18,299.0,6,676,12288,0.9635276794433594,0.024986087178695014,0.206494140625,0.2,0.9805384874343872,-0.011809535790234804,0.00028975999999999996,130,0.01589288,-4.153722716867923,0.01699686422944069,,
135.48626708984375,21,299.0,7,669,14336,0.9521520137786865,0.019389076213701627,0.218896484375,0.2,0.9877119064331055,-0.012111464785994031,0.00028771199999999997,140,0.019182155,-4.1242109596729275,-0.028578821569681168,,
138.66517639160156,24,299.0,8,662,16384,0.9481222629547119,0.021501267593703233,0.151904296875,0.2,0.9882411956787109,-0.009959696902660653,0.000285664,150,0.014049523,-4.102233228087425,-0.020284492522478104,,
141.31053161621094,27,299.0,9,660,18432,0.943341076374054,0.012478586846555118,0.1478515625,0.2,0.9933039546012878,-0.008283466436841991,0.000283616,160,0.011242319,-4.090158657729626,-0.029419653117656708,,
144.70652770996094,31,299.0,10,656,20480,0.9376444816589355,0.009727096973801964,0.193408203125,0.2,0.9957830905914307,-0.013973974365217145,0.00028156799999999994,170,0.013719119,-4.0720802828669544,-0.011710917577147484,,
148.23683166503906,34,299.0,11,655,22528,0.9310939908027649,0.011109817375836429,0.1935546875,0.2,0.9957533478736877,-0.0115596807867405,0.00027951999999999995,180,0.015939012,-4.05232961922884,0.021173395216464996,,
